"Dec 31, 2020",midday,6,4
"Dec 30, 2020",midday,1,5
"Dec 29, 2020",midday,7,7
"Dec 28, 2020",midday,4,4
"Dec 27, 2020",midday,3,9
"Dec 26, 2020",midday,6,0
"Dec 25, 2020",midday,9,7
"Dec 24, 2020",midday,9,3
"Dec 23, 2020",midday,8,1
"Dec 22, 2020",midday,4,2
"Dec 21, 2020",midday,8,4
"Dec 20, 2020",midday,7,8
"Dec 19, 2020",midday,6,0
"Dec 18, 2020",midday,6,8
"Dec 17, 2020",midday,9,0
"Dec 16, 2020",midday,0,6
"Dec 15, 2020",midday,5,8
"Dec 14, 2020",midday,9,2
"Dec 13, 2020",midday,0,5
"Dec 12, 2020",midday,3,5
"Dec 11, 2020",midday,9,7
"Dec 10, 2020",midday,3,4
"Dec 09, 2020",midday,9,7
"Dec 08, 2020",midday,5,2
"Dec 07, 2020",midday,4,1
"Dec 06, 2020",midday,3,8
"Dec 05, 2020",midday,1,7
"Dec 04, 2020",midday,7,7
"Dec 03, 2020",midday,8,1
"Dec 02, 2020",midday,9,5
"Dec 01, 2020",midday,9,8
"Nov 30, 2020",midday,0,1
"Nov 29, 2020",midday,0,2
"Nov 28, 2020",midday,0,2
"Nov 27, 2020",midday,9,2
"Nov 26, 2020",midday,6,1
"Nov 25, 2020",midday,9,0
"Nov 24, 2020",midday,4,1
"Nov 23, 2020",midday,3,8
"Nov 22, 2020",midday,7,1
"Nov 21, 2020",midday,2,3
"Nov 20, 2020",midday,7,2
"Nov 19, 2020",midday,6,3
"Nov 18, 2020",midday,1,8
"Nov 17, 2020",midday,3,9
"Nov 16, 2020",midday,9,3
"Nov 15, 2020",midday,8,6
"Nov 14, 2020",midday,1,0
"Nov 13, 2020",midday,3,6
"Nov 12, 2020",midday,6,2
"Nov 11, 2020",midday,1,3
"Nov 10, 2020",midday,3,9
"Nov 09, 2020",midday,8,6
"Nov 08, 2020",midday,7,8
"Nov 07, 2020",midday,2,1
"Nov 06, 2020",midday,1,1
"Nov 05, 2020",midday,3,4
"Nov 04, 2020",midday,1,8
"Nov 03, 2020",midday,1,7
"Nov 02, 2020",midday,1,1
"Nov 01, 2020",midday,6,2
"Oct 31, 2020",midday,0,3
"Oct 30, 2020",midday,8,3
"Oct 29, 2020",midday,9,4
"Oct 28, 2020",midday,9,3
"Oct 27, 2020",midday,6,3
